prop_name,area1,lat,lng
Executive Bay A, Executive Bay,25.17858124,55.26623917
Azizi Riviera 43, Meydan One,25.17314339,55.30949783
The Links Canal Apartments, The Links,25.09071922,55.17018509
Bay's Edge, Business Bay,25.18768311,55.26990128
Resortz by Danube, Arjan,25.06219101,55.23268127
Joya Verde Residences, Jumeirah Village Circle,25.06598854,55.21206284
MILANO by Giovanni Botique Suites, Jumeirah Village Circle,25.06072044,55.21732712
Safeer Tower 1, Safeer Towers,25.17711258,55.27106476
Binghatti Canal, Business Bay,25.18608475,55.28614044
Pearlz by Danube, Al Furjan,25.02781105,55.15467072
AZIZI Riviera 17, Meydan One,25.17348671,55.3054924
Burj Al Nujoom, Downtown Dubai,25.191185,55.28224945
O10, Al Jaddaf,25.21136093,55.31449127
Spring Oasis, Dubai Silicon Oasis,25.11715889,55.3895874
The Bridge, Dubai Sports City,25.04277992,55.22177124
Azizi Riviera 44, Meydan One,25.17258453,55.30947495
Siraj Tower, Arjan,25.05685425,55.2363205
Park View Tower, Jumeirah Village Circle,25.05415535,55.20293045
The Spirit, Dubai Sports City,25.04021835,55.21847534
Goldcrest Views 1, JLT Cluster V,25.07817459,55.15111923
Sun Point Dubai, Dubai Production City (IMPZ),25.02576637,55.19107819
Wavez Residence, Liwan,25.10443878,55.37348557
Starz Tower 1, Starz by Danube,25.03154755,55.1402359
AZIZI Riviera 35, Meydan One,25.17156029,55.30544662
Azizi Aliyah, Dubai Healthcare City,25.21352768,55.32075882
Azizi Riviera 22, Meydan One,25.17357254,55.30593491
Marina Star, Dubai Marina,25.06853485,55.13153839
Lincoln Park - West Side, Lincoln Park,25.06781769,55.21444702
AZIZI Riviera, Meydan One,25.15623665,55.3010025
AZIZI Riviera 16, Meydan One,25.17362213,55.30478287
Shamal Residences 2, Jumeirah Village Circle,25.05129623,55.19981003
Hanover Square, Jumeirah Village Circle,25.0682621,55.20476532
The Dunes, Dubai Silicon Oasis,25.109272,55.37791443
Tower 108, Jumeirah Village Circle,25.0541935,55.19756317
Sydney Tower, Jumeirah Village Circle,25.05249023,55.20095825
Lakeside Tower A, Lakeside Residence,25.03521156,55.20159912
Tower 3, Terhab Hotels & Towers,25.04172516,55.18759155
Azizi Riviera 20, Meydan One,25.17302895,55.30732727
GHAPH Studio, Dubai Studio City,25.03633308,55.2369957
The Diamond, Dubai Sports City,25.04078674,55.20402527
DAMAC Maison de Ville Tenora, Dubai South (Dubai World Central),24.94641685,55.21171951
ANWA, Maritime City,25.26910782,55.27010727
Miraclz Tower by Danube, Arjan,25.05924225,55.23838425
Amara Residences, Jumeirah Village Circle,25.05655861,55.19736862
