,id,beds,baths,rating,reviews,capacity,title,revenue,occ,adr,lat,lng
0,abnb_973702959591796966,1,1.0,5.0,18,2,Luxury stay canal Burj Khalifa,40351.3,60.54,360.28,25.184,55.2839
0,abnb_48249092,1,1.5,4.8,45,2,Spacious 1BHK|Amazing Apartment City View|Albarsha,40351.3,53.45,274.5,25.10778,55.20302
0,abnb_913420676499316773,1,1.5,,,2,Stella Stays | Spacious 1BDR | Barari,40351.3,30.5,938.4,25.103867432,55.311825578
0,abnb_994008542019176264,1,1.0,5.0,1,2,Posh 1BR in Downtown Dubai | Host & Stay,40340.28,36.36,1260.63,25.202678676,55.282122492
0,abnb_851050481167220661,1,1.0,5.0,2,2,Hot OFFER! Stunning 1BR Apt Sunrise Bay-Sea views,40321.92,67.61,840.04,25.09859,55.14075
0,abnb_1129723813823204470,1,1.5,4.9,8,4,"High-floor Infinity Pool, Spacious 1BDR, Best View",40307.23,90.79,584.16,25.1115,55.1386
0,abnb_825778325349349156,1,1.0,5.0,3,3,Manzil - 1BR in Business Bay w Burj & Canal Views,40296.21,65.12,719.58,25.18405,55.27672
0,abnb_1095555656114104975,1,1.5,5.0,1,2,Cozy 1 Bedroom Home,40292.54,30.7,1151.22,25.2327,55.2955
0,abnb_980180123697622141,1,1.0,4.5,4,2,Modern 1bdr In Binghatti-Business Bay 101,40288.86,62.84,433.21,25.180997757,55.269979511
0,abnb_834455426643878377,1,1.0,5.0,1,2,Dramatic Sea View ANWA FourApple,40274.17,68.33,491.15,25.26969,55.26987
0,abnb_1031778485913416851,1,1.5,,,4,Cozy 1Bedroom with Balcony Business Bay,40274.17,64.06,491.15,25.18907,55.28003
0,abnb_994749159479221849,1,1.0,,,2,Furnished 1BR with Canal View,40266.82,91.78,601.0,25.182401492,55.277371799
0,abnb_1017844062711273818,1,1.0,5.0,6,2,Very nice apartment in burj khalifa area,40263.15,73.08,706.37,25.1949,55.2692
0,abnb_1024584951104732984,1,1.0,4.6,5,3,Modern canal view apartment with specious balcony,40255.81,57.58,706.24,25.184228254,55.262165927
0,abnb_1006409356739387334,1,1.0,4.5,2,3,Trophy | Maison de Charme Suite,40252.13,57.63,1183.89,25.1794843,55.3044375
0,abnb_917170950741294072,1,1.5,4.8,5,3,Impressive 1BR Apt in 1 Residences - Near Metro!,40248.46,52.52,551.35,25.2319,55.2951
0,abnb_1004144245837564272,1,1.5,,,3,Spacious 1B | Al Safa Complex | Burj Khalifa Views,40248.46,34.92,1829.48,25.1787308,55.2420986
0,abnb_816452009133603855,1,1.0,4.5,14,2,GuestReady - Classic tones near Dubai Creek,40244.79,95.29,496.85,25.188,55.28245
0,abnb_989823041527772909,1,1.5,5.0,2,2,Marina 1Bdr Apartment,40244.79,67.54,522.66,25.090473849,55.148649915
0,abnb_766623791320179318,1,1.5,4.7,14,3,Cozy Haven retreat in coveted Midtown Community,40241.11,72.47,224.81,25.0266294,55.181517
0,vrbo_3872019,1,1.0,,0,2,GuestReady - Sweet Escape,40237.44,75.51,543.75,25.196622,55.361004
0,abnb_862189678061347648,1,1.0,4.6,17,2,Stylish studio with Tropical fair in Dubai Marina,40237.44,45.74,467.88,25.07298,55.13166
0,abnb_930111899354403428,1,1.0,5.0,1,3,Charming 1BR Apt at Downtown,40211.73,42.56,390.41,25.192532365,55.281361302
0,abnb_580137572033078728,1,2.0,5.0,1,2,1 Bedroom Apartment in Dubai Marina,40208.06,22.32,773.23,25.08051,55.14428
0,vrbo_3673468,1,1.5,,0,4,Next to Burj Khalifa The Address Opera - High floor 1 BDR with Sea View ,40204.38,37.67,730.99,25.197906,55.272707
0,abnb_740237210039345896,1,1.5,,,2,Royal Amwaj Palm Sea View One Bedroom Apartment,40193.37,46.79,788.11,25.12599,55.12409
0,abnb_947726797471292484,1,1.0,5.0,17,4,Cozy 1BR in Business Bay| Zada tower,40175.0,52.27,436.68,25.183836922,55.26129892
0,vrbo_3978103,1,1.0,,,,"Your Home is only as big as your View"" - Come home to the largest 32 sqm studio apartment boasting picturesque views of the Dubai skyline and beyond, furnished to five-star hotel standards...you might never want to leave!<br><br>Features:<br><br>•	Sp",40167.65,48.28,1434.56,25.208669,55.315006
0,abnb_756367013350556134,1,1.0,4.6,7,3,Stylish Apartment Facing Creek Harbour,40163.98,88.17,489.8,25.2077933,55.34253
0,abnb_999286979508257541,1,1.5,4.5,10,7,"Comfortable, Spacious 1BD in Dubai Marina",40163.98,34.16,730.25,25.06884,55.13116
